sensor_id,latitude,longitude,start_time_local,end_time_local,start_time_unix_epoch,end_time_unix_epoch
F3:5D:07:10:6A:80,32.573,-97.815,2025-01-06T02:06:20.446000-06:00,2025-01-06T02:09:47.981285-06:00,1.73615E+12,1.73615E+12
8B:F2:11:10:6A:80,32.599,-97.803,2025-01-06T02:06:20.449000-06:00,2025-01-06T03:29:04.964517-06:00,1.73615E+12,1.73616E+12
11:4E:75:40:EE:C0,32.629,-97.825,2025-01-06T02:06:20.459000-06:00,2025-01-06T02:10:28.006470-06:00,1.73615E+12,1.73615E+12
BD:52:16:10:6A:80,32.615,-97.794,2025-01-06T02:06:20.464000-06:00,2025-01-06T03:35:26.407973-06:00,1.73615E+12,1.73616E+12
19:0D:0E:10:6A:80,32.612,-97.793,2025-01-06T02:06:20.711000-06:00,2025-01-06T03:34:59.158809-06:00,1.73615E+12,1.73616E+12
13:0D:07:10:6A:80,32.613,-97.8,2025-01-06T02:06:20.744000-06:00,2025-01-06T03:34:46.122428-06:00,1.73615E+12,1.73616E+12
E7:E9:02:10:6A:80,32.817,-96.823,2025-01-06T02:07:41.506000-06:00,2025-01-06T04:24:08.746433-06:00,1.73615E+12,1.73616E+12
3B:5B:16:10:6A:80,33.013,-97.03,2025-01-06T02:07:42.776000-06:00,2025-01-06T05:05:19.570001-06:00,1.73615E+12,1.73616E+12
45:92:AB:51:7F:C4,32.626,-97.065,2025-01-06T02:07:44.381000-06:00,2025-01-06T03:59:38.348789-06:00,1.73615E+12,1.73616E+12
F9:DC:73:40:EE:C0,33.12,-96.633,2025-01-06T02:07:48.428000-06:00,2025-01-06T03:20:03.949193-06:00,1.73615E+12,1.73616E+12
A3:F6:08:10:6A:80,33.87,-98.558,2025-01-06T02:07:49.031000-06:00,2025-01-06T04:26:57.527987-06:00,1.73615E+12,1.73616E+12
BF:86:24:10:6A:80,32.923,-95.713,2025-01-06T02:07:49.132000-06:00,2025-01-06T05:33:39.198560-06:00,1.73615E+12,1.73616E+12
47:4B:13:10:6A:80,33.033,-97.106,2025-01-06T02:07:50.289000-06:00,2025-01-06T05:33:40.405836-06:00,1.73615E+12,1.73616E+12
15:94:11:10:6A:80,33.12,-96.729,2025-01-06T02:07:51.192000-06:00,2025-01-06T03:20:01.323926-06:00,1.73615E+12,1.73616E+12
ED:96:A6:51:7F:C4,32.733,-97.105,2025-01-06T02:07:51.409000-06:00,2025-01-06T05:05:19.201261-06:00,1.73615E+12,1.73616E+12
87:F9:07:10:6A:80,32.98,-96.693,2025-01-06T02:07:53.562000-06:00,2025-01-06T05:05:18.822497-06:00,1.73615E+12,1.73616E+12
F7:08:01:10:6A:80,33.899,-98.422,2025-01-06T02:07:53.572000-06:00,2025-01-06T02:48:26.773302-06:00,1.73615E+12,1.73615E+12
F9:46:0E:10:6A:80,33.9,-98.557,2025-01-06T02:07:53.686000-06:00,2025-01-06T05:05:17.060662-06:00,1.73615E+12,1.73616E+12
C7:59:16:10:6A:80,32.851,-97.139,2025-01-06T02:07:55.896000-06:00,2025-01-06T05:33:40.844360-06:00,1.73615E+12,1.73616E+12
4D:49:16:10:6A:80,32.865,-96.583,2025-01-06T02:08:59.919000-06:00,2025-01-06T02:11:22.444283-06:00,1.73615E+12,1.73615E+12
6D:91:75:40:EE:C0,32.73,-97.383,2025-01-06T02:09:06.915000-06:00,2025-01-06T02:16:05.895381-06:00,1.73615E+12,1.73615E+12
8B:11:09:10:6A:80,32.777,-97.707,2025-01-06T02:09:42.630000-06:00,2025-01-06T07:38:06.814488-06:00,1.73615E+12,1.73617E+12
A5:1A:14:10:6A:80,33.049,-96.78,2025-01-06T02:10:43.171000-06:00,2025-01-06T05:33:42.115635-06:00,1.73615E+12,1.73616E+12
5B:C2:0D:10:6A:80,33.188,-96.535,2025-01-06T02:11:06.977000-06:00,2025-01-06T05:05:19.371686-06:00,1.73615E+12,1.73616E+12
75:B5:74:40:EE:C0,33.207,-96.899,2025-01-06T02:11:08.439000-06:00,2025-01-06T02:50:55.237238-06:00,1.73615E+12,1.73615E+12
2F:BF:AB:51:7F:C4,33.294,-96.621,2025-01-06T02:11:09.412000-06:00,2025-01-06T05:33:38.112330-06:00,1.73615E+12,1.73616E+12
CD:F1:14:10:6A:80,33.28,-96.612,2025-01-06T02:11:13.303000-06:00,2025-01-06T05:33:39.036229-06:00,1.73615E+12,1.73616E+12
77:79:A5:51:7F:C4,32.89,-96.584,2025-01-06T02:12:22.679000-06:00,2025-01-06T08:20:04.168645-06:00,1.73615E+12,1.73617E+12
37:2F:02:10:6A:80,33.044,-96.713,2025-01-06T02:14:33.473000-06:00,2025-01-06T10:05:32.894612-06:00,1.73615E+12,1.73618E+12
6D:AF:0D:10:6A:80,32.828,-97.072,2025-01-06T02:16:42.460000-06:00,2025-01-06T03:34:51.907457-06:00,1.73615E+12,1.73616E+12
2F:22:16:10:6A:80,32.952,-97.068,2025-01-06T02:17:34.769000-06:00,2025-01-06T08:10:54.567124-06:00,1.73615E+12,1.73617E+12
B5:7C:A5:51:7F:C4,32.926,-96.526,2025-01-06T02:21:13.994000-06:00,2025-01-06T07:41:33.802053-06:00,1.73615E+12,1.73617E+12
E7:35:12:10:6A:80,32.614,-97.794,2025-01-06T02:22:17.380000-06:00,2025-01-06T04:06:01.634478-06:00,1.73615E+12,1.73616E+12
2B:3A:15:10:6A:80,33.199,-97.062,2025-01-06T02:26:57.354000-06:00,2025-01-06T02:32:47.262789-06:00,1.73615E+12,1.73615E+12
85:9C:A6:51:7F:C4,33.185,-97.046,2025-01-06T02:26:57.367000-06:00,2025-01-06T02:28:42.760092-06:00,1.73615E+12,1.73615E+12
D3:B6:06:10:6A:80,32.982,-96.971,2025-01-06T02:28:10.616000-06:00,2025-01-06T03:09:31.418028-06:00,1.73615E+12,1.73615E+12
13:88:A7:51:7F:C4,33.624,-97.126,2025-01-06T02:30:35.462000-06:00,2025-01-06T03:01:38.493864-06:00,1.73615E+12,1.73615E+12
9D:EB:05:10:6A:80,33.412,-96.31,2025-01-06T02:30:43.021000-06:00,2025-01-06T07:02:19.207770-06:00,1.73615E+12,1.73617E+12
3B:13:A9:51:7F:C4,33.036,-96.672,2025-01-06T02:30:47.637000-06:00,2025-01-06T05:31:11.060230-06:00,1.73615E+12,1.73616E+12
89:91:10:10:6A:80,33.305,-96.99,2025-01-06T02:34:51.459000-06:00,2025-01-06T02:37:16.758803-06:00,1.73615E+12,1.73615E+12
4F:09:12:10:6A:80,32.675,-97.794,2025-01-06T02:36:02.949000-06:00,2025-01-06T04:01:58.640196-06:00,1.73615E+12,1.73616E+12
01:9C:16:10:6A:80,32.376,-95.317,2025-01-06T02:39:36.347000-06:00,2025-01-06T09:52:02.604445-06:00,1.73615E+12,1.73618E+12
83:0B:06:10:6A:80,32.957,-96.981,2025-01-06T02:47:29.004000-06:00,2025-01-06T03:53:19.459314-06:00,1.73615E+12,1.73616E+12
B9:A4:09:10:6A:80,32.846,-96.635,2025-01-06T02:48:50.539000-06:00,2025-01-06T07:14:55.728637-06:00,1.73615E+12,1.73617E+12
3B:84:0C:10:6A:80,32.847,-97.12,2025-01-06T02:52:16.987000-06:00,2025-01-06T03:25:03.067620-06:00,1.73615E+12,1.73616E+12
AF:C6:A8:51:7F:C4,32.878,-96.823,2025-01-06T02:56:09.306000-06:00,2025-01-06T04:17:23.323941-06:00,1.73615E+12,1.73616E+12
F7:08:01:10:6A:80,33.899,-98.422,2025-01-06T03:03:01.491000-06:00,2025-01-06T03:34:51.799993-06:00,1.73615E+12,1.73616E+12
BB:4A:06:10:6A:80,33.061,-96.77,2025-01-06T03:03:33.188000-06:00,2025-01-06T03:38:43.679721-06:00,1.73615E+12,1.73616E+12
25:B8:0D:10:6A:80,33.153,-96.051,2025-01-06T03:04:25.855000-06:00,2025-01-06T10:52:25.828295-06:00,1.73615E+12,1.73618E+12
CB:13:0F:10:6A:80,32.988,-96.542,2025-01-06T03:09:23.321000-06:00,2025-01-06T04:34:34.925149-06:00,1.73615E+12,1.73616E+12
B3:88:A6:51:7F:C4,32.961,-97.276,2025-01-06T03:10:44.136000-06:00,2025-01-06T03:58:48.175709-06:00,1.73615E+12,1.73616E+12
75:B5:74:40:EE:C0,33.207,-96.899,2025-01-06T03:10:54.318000-06:00,2025-01-06T06:33:04.034936-06:00,1.73615E+12,1.73617E+12
47:78:A7:51:7F:C4,32.582,-96.891,2025-01-06T03:15:36.166000-06:00,2025-01-06T04:33:22.397849-06:00,1.73615E+12,1.73616E+12
47:D4:A6:51:7F:C4,32.969,-96.772,2025-01-06T03:19:05.390000-06:00,2025-01-07T23:54:40.527722-06:00,1.73616E+12,1.73632E+12
93:94:06:10:6A:80,33.078,-96.793,2025-01-06T03:21:33.444000-06:00,2025-01-06T08:36:32.932207-06:00,1.73616E+12,1.73617E+12
FF:FB:A9:51:7F:C4,32.968,-96.862,2025-01-06T03:24:07.736000-06:00,2025-01-06T04:36:58.222626-06:00,1.73616E+12,1.73616E+12
FB:4F:A5:51:7F:C4,32.805,-97.202,2025-01-06T03:27:23.851000-06:00,2025-01-06T11:49:47.182829-06:00,1.73616E+12,1.73619E+12
89:C8:A9:51:7F:C4,32.768,-97.78,2025-01-06T03:29:03.330000-06:00,2025-01-06T07:47:35.037292-06:00,1.73616E+12,1.73617E+12
CD:8E:07:10:6A:80,33.257,-96.781,2025-01-06T03:30:06.558000-06:00,2025-01-06T05:46:39.942541-06:00,1.73616E+12,1.73616E+12
B5:CC:11:10:6A:80,32.987,-96.6,2025-01-06T03:31:06.763000-06:00,2025-01-06T05:33:38.842335-06:00,1.73616E+12,1.73616E+12
05:F0:01:10:6A:80,32.289,-96.13,2025-01-06T03:36:25.236000-06:00,2025-01-06T08:02:54.021924-06:00,1.73616E+12,1.73617E+12
B7:E9:09:10:6A:80,33.075,-96.519,2025-01-06T03:37:31.151000-06:00,2025-01-06T11:24:56.888884-06:00,1.73616E+12,1.73618E+12
11:7F:A6:51:7F:C4,33.165,-96.388,2025-01-06T03:37:33.871000-06:00,2025-01-06T04:22:29.014714-06:00,1.73616E+12,1.73616E+12
51:EE:03:10:6A:80,33.165,-96.388,2025-01-06T03:37:39.271000-06:00,2025-01-06T04:22:37.120065-06:00,1.73616E+12,1.73616E+12
E3:F7:13:10:6A:80,32.912,-97.219,2025-01-06T03:38:29.176000-06:00,2025-01-06T04:23:47.969944-06:00,1.73616E+12,1.73616E+12
F9:4C:0B:10:6A:80,32.768,-97.47,2025-01-06T03:45:16.254000-06:00,2025-01-06T04:18:16.840593-06:00,1.73616E+12,1.73616E+12
13:C4:21:10:6A:80,32.66,-95.92,2025-01-06T03:45:40.084000-06:00,2025-01-06T04:34:36.443303-06:00,1.73616E+12,1.73616E+12
6F:65:06:10:6A:80,33.17,-97.102,2025-01-06T03:46:50.138000-06:00,2025-01-06T04:36:03.479800-06:00,1.73616E+12,1.73616E+12
6D:AF:0D:10:6A:80,32.828,-97.072,2025-01-06T03:48:56.007000-06:00,2025-01-06T05:08:08.068412-06:00,1.73616E+12,1.73616E+12
63:C4:AB:51:7F:C4,32.64,-97.408,2025-01-06T03:49:26.420000-06:00,2025-01-06T05:13:04.875779-06:00,1.73616E+12,1.73616E+12
DD:54:A8:51:7F:C4,32.983,-96.566,2025-01-06T03:50:06.754000-06:00,2025-01-06T04:36:00.825853-06:00,1.73616E+12,1.73616E+12
81:1C:A6:51:7F:C4,32.758,-96.695,2025-01-06T03:50:18.909000-06:00,2025-01-06T04:55:11.807106-06:00,1.73616E+12,1.73616E+12
2B:A9:0C:10:6A:80,33.154,-97.138,2025-01-06T03:50:25.321000-06:00,2025-01-06T05:00:39.092144-06:00,1.73616E+12,1.73616E+12
2D:5B:0E:10:6A:80,32.585,-97.051,2025-01-06T03:59:13.791000-06:00,2025-01-06T05:03:00.125398-06:00,1.73616E+12,1.73616E+12
D5:5C:15:10:6A:80,32.927,-97.519,2025-01-06T04:00:41.828000-06:00,2025-01-06T06:32:31.329422-06:00,1.73616E+12,1.73617E+12
77:44:A5:51:7F:C4,32.597,-97.102,2025-01-06T04:01:32.778000-06:00,2025-01-06T07:51:48.930724-06:00,1.73616E+12,1.73617E+12
7B:A2:16:10:6A:80,32.977,-96.814,2025-01-06T04:09:59.226000-06:00,2025-01-06T06:44:11.860919-06:00,1.73616E+12,1.73617E+12
6D:2F:03:10:6A:80,32.618,-97.401,2025-01-06T04:11:29.463000-06:00,2025-01-06T06:09:55.329337-06:00,1.73616E+12,1.73617E+12
19:0D:0E:10:6A:80,32.612,-97.793,2025-01-06T04:11:40.336000-06:00,2025-01-06T05:04:36.127406-06:00,1.73616E+12,1.73616E+12
57:C7:0E:10:6A:80,32.808,-97.244,2025-01-06T04:15:33.215000-06:00,2025-01-06T05:12:28.339130-06:00,1.73616E+12,1.73616E+12
C5:19:14:10:6A:80,32.847,-96.371,2025-01-06T04:16:38.679000-06:00,2025-01-06T07:45:22.326767-06:00,1.73616E+12,1.73617E+12
F7:4C:75:40:EE:C0,33.058,-96.549,2025-01-06T04:19:12.845000-06:00,2025-01-06T04:53:34.275757-06:00,1.73616E+12,1.73616E+12
