sensor_id,latitude,longitude,outage
2D:11:06:10:6A:80,32.407,-96.837,no
C5:76:73:40:EE:C0,32.452,-97.386,no
99:41:07:10:6A:80,32.693,-96.878,no
A5:FE:05:10:6A:80,32.367,-95.329,no
7B:05:0C:10:6A:80,32.992,-96.673,no
B3:E8:74:40:EE:C0,32.732,-96.88,no
75:69:75:40:EE:C0,33.415,-96.384,yes
83:A8:09:10:6A:80,33.052,-96.822,no
71:A2:0C:10:6A:80,32.081,-96.8,no
C9:8B:0A:10:6A:80,33.074,-96.853,no
13:18:0C:10:6A:80,33.091,-96.902,no
DB:51:05:10:6A:80,32.954,-96.771,no
FF:87:0A:10:6A:80,32.604,-97.4,no
C1:D7:0B:10:6A:80,33.012,-96.864,no
19:7C:0A:10:6A:80,32.393,-98.813,no
F3:A5:0A:10:6A:80,32.846,-97.097,no
5B:72:73:40:EE:C0,33.084,-97.071,no
CF:FF:0B:10:6A:80,33.025,-97.066,no
1F:54:0A:10:6A:80,32.875,-97.078,no
B7:C2:09:10:6A:80,32.924,-96.963,no
79:65:09:10:6A:80,32.648,-97.267,no
3D:E0:06:10:6A:80,32.65,-97.389,no
4B:17:0C:10:6A:80,32.947,-96.474,no
59:51:0C:10:6A:80,33.015,-96.58,no
23:64:09:10:6A:80,32.906,-96.468,no
23:BE:09:10:6A:80,32.825,-96.597,no
C7:FD:0B:10:6A:80,32.664,-97.083,no
F5:1A:0C:10:6A:80,32.722,-96.6,no
1D:65:0C:10:6A:80,32.92,-96.954,no
CD:8F:09:10:6A:80,33.095,-96.633,no
8B:11:09:10:6A:80,32.777,-97.707,no
35:8B:0A:10:6A:80,32.823,-96.668,no
99:39:0C:10:6A:80,32.608,-96.866,no
09:B8:09:10:6A:80,33.248,-97.101,no
9F:39:0C:10:6A:80,32.722,-96.786,no
29:0F:09:10:6A:80,32.51,-97.116,no
C7:07:07:10:6A:80,32.701,-97.373,no
39:B1:03:10:6A:80,32.651,-97.432,no
0B:DD:06:10:6A:80,32.091,-96.491,no
A5:A6:09:10:6A:80,32.81,-96.651,no
CD:F8:74:40:EE:C0,32.618,-97.118,no
49:7E:0A:10:6A:80,32.614,-96.775,no
69:F4:0C:10:6A:80,32.967,-96.986,no
EB:E9:73:40:EE:C0,33.042,-97.085,no
9D:1E:0C:10:6A:80,33.083,-97.076,no
9F:40:0C:10:6A:80,33.122,-97.018,no
EB:56:05:10:6A:80,32.888,-96.871,no
67:6D:75:40:EE:C0,33.022,-96.557,no
87:8A:74:40:EE:C0,32.819,-98.119,no
9F:4B:02:10:6A:80,32.692,-96.803,no
91:5F:09:10:6A:80,32.968,-96.857,no
53:4E:73:40:EE:C0,33.148,-97.048,no
0B:00:05:10:6A:80,32.433,-97.697,no
